platform,course name,instructor,subject,image,description,link,rating
great learning,Popular Applications of Data Science,great learning academy,data science,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_FBsmUdks1f6WUaDXWMQI6e3c41cMxz9nO5jdO_Ybb8R89ng8mIBxiGjLvl0mxyBnVe8&usqp=CAU,The course begins with giving you an introduction to Data Science and helps you get your hands-on working with the application to develop solutions for data science problems.,https://www.mygreatlearning.com/academy/learn-for-free/courses/popular-applications-of-data-science,4.5
simplilearn ,Data Science with R Programming,Simplilearn Instructors,data science,https://tse4.mm.bing.net/th?id=OIP.e3VY01ZPGzmgCxGtViBYywHaDu&pid=Api&P=4,"Learn Data Science with R basics in this program and become an expert in data exploration, data structures, and data visualization. This data science R basics program offers work-ready preparation needed for all aspiring data scientists, analysts, and professionals looking to establish a career in data science. The program covers statistics, regression analysis, classification, and clustering",https://www.simplilearn.com/learn-data-science-with-r-basics-skillup,4.4
coursera,"Algorithms, Part I",Kevin Wayne,dsa,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,"This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. ",https://www.coursera.org/learn/algorithms-part1,4.9
coursera,"Algorithms, Part II",Robert Sedgewick,dsa,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,"This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. Part I covers elementary data structures, sorting, and searching algorithms. Part II focuses on graph- and string-processing algorithms.",https://www.coursera.org/learn/algorithms-part2,4.9
coursera,Algorithms Specialization,Tim Roughgarden,dsa,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,Learn To Think Like A Computer Scientist. Master the fundamentals of the design and analysis of algorithms.,https://www.coursera.org/specializations/algorithms,4.8
udemy,JavaScript Data Structures & Algorithms,"Scott Barrett
",dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,This course makes learning to code fun and makes hard concepts easy to understand.,https://www.udemy.com/course/data-structures-algorithms-javascript/,4.8
udemy,Master the Coding Interview: Data Structures + Algorithms,Andrei Neagoie,dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,"Many developers who are ""self taught"", feel that one of the main disadvantages they face compared to college educated graduates in computer science is the fact that they don't have knowledge about algorithms, data structures and the notorious Big-O Notation. Get on the same level as someone with computer science degree by learning the fundamental building blocks of computer science which will give you a big boost during interviews. You will also get access to our private online chat community with thousands of developers online to help you get through the course.",https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,4.7
udemy,Java Data Structures & Algorithms + 76 CODING EXERCISES,"Scott Barrett
",dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,This course makes learning to code fun and makes hard concepts easy to understand.,https://www.udemy.com/course/data-structures-and-algorithms-java/,4.7
coursera,Data Structures and Algorithms Specialization,Neil Rhodes,dsa,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,"Master Algorithmic Programming Techniques. Advance your Software Engineering or Data Science Career by Learning Algorithms through Programming and Puzzle Solving. Ace coding interviews by implementing each algorithmic challenge in this Specialization. Apply the newly-learned algorithmic techniques to real-life problems, such as analyzing a huge social network or sequencing a genome of a deadly pathogen.",https://www.coursera.org/specializations/data-structures-algorithms,4.6
coursera,Data Structures,Neil Rhodes,dsa,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,You will learn how these data structures are implemented in different programming languages and will practice implementing them in our programming assignments. This will help you to understand what is going on inside a particular built-in implementation of a data structure and what to expect from it. ,https://www.coursera.org/learn/data-structures,4.6
udemy,Mastering Data Structures & Algorithms using C and C++,Abdul Bari,dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,"This 53 hours of course covers each topic in greater details, every topic is covered on Whiteboard which will improve your Problem Solving and Analytical Skills. Every Data Structure is discussed, analysed and implemented with a Practical line-by-line coding.",https://www.udemy.com/course/datastructurescncpp/,4.6
udemy,Master Coding Interview :Data structures + Algorithms,Jackson Kailath,dsa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi-Mgv7M_sZGM-cxpVQBLJyRfwUa0HpcUPUw&usqp=CAU,"This course is structured as DAILY CODING CHALLENGES to give you a clear target for every day. By not missing a single day and by staying consistent you will have solved a variety of questions by the end of this course, getting you prepared for coding interviews and more practice on your own from Leetcode.",https://www.udemy.com/course/data-structures-and-algorithms-dsa/,4.5
great learning,Java Data Structures for Beginners,great learning academy,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","This course will help you become an expert in different data structures like the Arrays, stack, queue and linked list would help crack any interview and write an optimized code that can benefit any organization. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/java-data-structures-for-beginners,4.5
great learning,Java Algorithms,great learning academy,dsa,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto/gigs2/304026752/original/de70b097c7283f8e0661c384a398cb72ab83c64d.jpg","In this course, you will understand Algorithms and their Analysis followed by their types. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/algorithms-in-java-for-intermediate-level,4.4
coursera,Deep Learning Specialization,Andrew Ng,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,https://www.coursera.org/specializations/deep-learning,4.9
coursera,Neural Networks and Deep Learning,Andrew Ng,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural network’s architecture; and apply deep learning to your own applications.",https://www.coursera.org/learn/neural-networks-deep-learning,4.9
coursera,Reinforcement Learning Specialization,Martha White,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,https://www.coursera.org/specializations/reinforcement-learning,4.8
udemy,A deep understanding of deep learning,Mike X Cohen,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,"Deep learning is now used in most areas of technology, business, and entertainment. And it's becoming more important every year.",https://www.udemy.com/course/deeplearning_x/,4.8
coursera,DeepLearning.AI TensorFlow Developer Professional Certificate,Laurence Moroney,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"In this hands-on, four-course Professional Certificate program, you’ll learn the necessary tools to build scalable AI-powered applications with TensorFlow. After finishing this program, you’ll be able to apply your new TensorFlow skills to a wide range of problems and projects. ",https://www.coursera.org/professional-certificates/tensorflow-in-practice,4.7
great learning,Convolutional Neural Networks,great learning academy,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlIVOk-9FeWxZf-Z6l-8mPcteE_zXdbBdOcHd6j2_x_nY4et8WGX7xugLw8Lh9mVB8AcM&usqp=CAU,"In this course, we will learn how CNNs work and some of the applications they have been used in.",https://www.mygreatlearning.com/academy/learn-for-free/courses/convolutional-neural-networks,4.7
coursera,Traffic Sign Classification Using Deep Learning in Python/Keras,Ryan Ahemd,deep learning,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"In this 1-hour long project-based course, you will be able to: - Understand the theory and intuition behind Convolutional Neural Networks (CNNs). - Import Key libraries, dataset and visualize images.",https://www.coursera.org/projects/traffic-sign-classification-deep-learning,4.6
udemy,Deep Learning: Recurrent Neural Networks in Python,Lazy Programmer Inc.,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,"This course focuses on ""how to build and understand"", not just ""how to use"". Anyone can learn to use an API in 15 minutes after reading some documentation. It's not about ""remembering facts"", it's about ""seeing for yourself"" via experimentation. It will teach you how to visualize what's happening in the model internally. If you want more than just a superficial look at machine learning models, this course is for you.",https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,4.6
udemy,Deep Learning: Convolutional Neural Networks in Python,Lazy Programmer Inc,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,This course will teach you the fundamentals of convolution and why it's useful for deep learning and even NLP (natural language processing).,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,4.6
udemy,Deep Learning Prerequisites: Logistic Regression in Python,Lazy Programmer Inc.,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,"This course is a lead-in to deep learning and neural networks - it covers a popular and fundamental technique used in machine learning, data science and statistics: logistic regression. We cover the theory from the ground up: derivation of the solution, and applications to real-world problems. We show you how one might code their own logistic regression module in Python.",https://www.udemy.com/course/data-science-logistic-regression-in-python/,4.6
great learning,Multilayer Perceptron,great learning academy,deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlIVOk-9FeWxZf-Z6l-8mPcteE_zXdbBdOcHd6j2_x_nY4et8WGX7xugLw8Lh9mVB8AcM&usqp=CAU,"The course starts by introducing you to neural networks, and you will learn their importance and understand their mechanism. ",https://www.mygreatlearning.com/academy/learn-for-free/courses/multilayer-perceptron,4.6
udemy,Deep Learning with Python and Keras,"Data Weekends, Jose Portilla, Francesco Mosconi ",deep learning,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNLjYAMkZEQWKpSLugdqUUzI8p-l8KGBeEnA&usqp=CAU,This course is designed to provide a complete introduction to Deep Learning. It is aimed at beginners and intermediate programmers and data scientists who are familiar with Python and want to understand and apply Deep Learning techniques to a variety of problems.,https://www.udemy.com/course/deep-learning-with-python-and-keras/,4.2
coursera,Introduction to DevOps,John Rofrano,devops,https://tse1.mm.bing.net/th?id=OIP.NlUB3yy9eLeNN6ppmuS4GwHaE8&pid=Api&P=0,DevOps skills are in demand! DevOps skills are expected to be one of the fastest-growing skills in the workforce. This course can be a first step in obtaining those skills. ,https://www.coursera.org/learn/intro-to-devops,4.8
coursera,DevOps Culture and Mindset,Courtney Kissler,devops,https://tse1.mm.bing.net/th?id=OIP.NlUB3yy9eLeNN6ppmuS4GwHaE8&pid=Api&P=0,"This course gives you the basic foundational principles of DevOps with a particular focus on culture and the DevOps mindset. We’ll learn about how DevOps is grounded in lean principles, and how it can help improve collaboration between developers and operations team members. ",https://www.coursera.org/learn/devops-culture-and-mindset,4.8
coursera,"DevOps, Cloud, and Agile Foundations Specialization",John Rofrano,devops,https://tse1.mm.bing.net/th?id=OIP.NlUB3yy9eLeNN6ppmuS4GwHaE8&pid=Api&P=0,"This specialization will equip you with a foundational understanding of DevOps, Cloud Computing, Agile, and Scrum and their transformational impact on businesses and approaches to software engineering",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,4.8
coursera,DevOps on AWS Specialization,Morgan Wills,devops,https://tse1.mm.bing.net/th?id=OIP.NlUB3yy9eLeNN6ppmuS4GwHaE8&pid=Api&P=0,"DevOps on AWS specialization teaches you how to use the combination of DevOps philosophies, practices and tools to develop, deploy, and maintain applications in the AWS Cloud. Benefits of adopting DevOps include: rapid delivery, reliability, scalability, security and improved collaboration.",https://www.coursera.org/specializations/aws-devops,4.7
coursera,IBM DevOps and Software Engineering Professional Certificate,John Rofrano,devops,https://tse1.mm.bing.net/th?id=OIP.NlUB3yy9eLeNN6ppmuS4GwHaE8&pid=Api&P=0,"This certificate will equip you with the key concepts and technical know-how to build your skills and knowledge of DevOps practices, tools and technologies and prepare you for an entry-level role in Software Engineering. ",https://www.coursera.org/professional-certificates/devops-and-software-engineering,4.7
udemy,The Ultimate DevOps Bootcamp - 2023,Mumshad Mannambeth,devops,http://t3.gstatic.com/images?q=tbn:ANd9GcSLyV63neoiG4uWzHjC6sFItPySkp4cLdGTubZ3fqDh7g_DOQUR,"Are you looking to advance your career in the IT field further? The DevOps Bootcamp course provides an excellent starting point for anyone who wants working knowledge in this rapidly-growing area. Not only will it teach you about the core culture and practices, but it will also give insight into some of its most prominent tools.You'll learn powerful concepts such as Orchestration, Containerization, and Infrastructure-as-Code (IaC) while gaining expertise in popular programming languages and tools like Java, Python, Linux, and Docker. Kubernetes, Terraform, Ansible, and more!",https://www.udemy.com/course/the-complete-devops-bootcamp/,4.7
udemy,AWS Certified DevOps Engineer Professional 2023 - Hands On!,Stephane Maarek,devops,http://t3.gstatic.com/images?q=tbn:ANd9GcSLyV63neoiG4uWzHjC6sFItPySkp4cLdGTubZ3fqDh7g_DOQUR,Welcome to the BEST and MOST UPDATED online resource to learn the skills needed to pass the challenging certification: AWS Certified DevOps Engineer Professional (DOP-C01).,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,4.7
udemy,"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps",Ranga Karanam,devops,http://t3.gstatic.com/images?q=tbn:ANd9GcSLyV63neoiG4uWzHjC6sFItPySkp4cLdGTubZ3fqDh7g_DOQUR,"DevOps is all about People, Process, and Tools. In this course, you will understand the basics of DevOps and learn to do DevOps with Docker, Kubernetes, Ansible, Terraform, Azure DevOps, and Jenkins. You will learn to implement DevOps with Continuous Integration, Continuous Delivery, and Infrastructure as Code. You will play with 3 different clouds - AWS, Azure and Google Cloud.",https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,4.5
udemy,DevOps MasterClass : Terraform Jenkins Kubernetes Ansible,LevelUp360° DevOps | GCP | Terraform | Kubernetes | Ansible,devops,http://t3.gstatic.com/images?q=tbn:ANd9GcSLyV63neoiG4uWzHjC6sFItPySkp4cLdGTubZ3fqDh7g_DOQUR,"The DevOps training course focuses heavily on the use of Docker containers, GIT & GitHub, Jenkins Kubernetes & Docker Swarm a technology that is revolutionizing the way apps are deployed in the cloud today and is a critical skillset to master in the cloud age.",https://www.udemy.com/course/devops-training/,4.5
coursera,Data Science Ethics,H.V.Jagadish,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"Explore the broader impact of the data science field on modern society and the principles of fairness, accountability and transparency as you gain a deeper understanding of the importance of a shared set of ethical values. ",https://www.coursera.org/learn/data-science-ethics,4.8
coursera,Ethical Hacking Essentials (EHE),EC Council,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,Ethical Hacking Essentials is an introductory cybersecurity course that covers ethical hacking and penetration testing fundamentals and prepares learners for a career in cybersecurity. ,https://www.coursera.org/learn/ethical-hacking-essentials-ehe#about,4.7
coursera,Introduction to Cyber Attacks,Dr Edward G Amoroso,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"This course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. An overview of how basic cyber attacks are constructed and applied to real systems is also included.",https://www.coursera.org/learn/intro-cyber-attacks,4.7
udemy,Ethical Hacking Foundations: Malware Development in Windows,Reenzo Black,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course will provide you the answers you're looking for. It will teach you how to develop your own custom malware for latest Microsoft Windows 10. And by custom malware we mean building a dropper for any payload you want (Metasploit meterpreter, Empire or Cobalt Strike beacons, etc.), injecting your shellcodes into remote processes, creating trojan horses (backdooring existing software) and bypassing Windows Defender AV.",https://www.udemy.com/course/ehf-maldev-in-windows//,4.7
udemy,Full Ethical Hacking & Penetration Testing Course | Ethical,Oak Academy,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course starts at beginner levels so you don’t need to have previous knowledge of Ethical Hacking. In this course, we will also cover the topic of Wi-Fi Hacking because Wi-Fi hacking is easier than hacking a device connected to that WiFi. There are many free tools that can hack the less secure Wi-Fi router. Apart from this, there are also advanced tools that work on backtrack and can even hack Wi-Fi router with high security.",https://www.udemy.com/course/full-ethical-hacking-penetration-testing-course/,4.7
coursera,Introduction to Cybersecurity Tools & Cyber Attacks,IBM Security Learning Services,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"This course gives you the background needed to understand basic Cybersecurity. You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.",https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,4.6
coursera,"Penetration Testing, Incident Response and Forensics",IBM Security Learning Services,ethical hacking,https://tse3.mm.bing.net/th?id=OIP.raIzXgT27AnyJYw-Rskc6AHaEK&pid=Api&P=0,"You will learn about the different phases of penetration testing, how to gather data for your penetration test and popular penetration testing tools. Furthermore, you will learn the phases of an incident response, important documentation to collect, and the components of an incident response policy and team.",https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,4.6
udemy,Learn Ethical Hacking From Scratch,Zaid Sabih,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course is highly practical but it won't neglect the theory; we'll start with ethical hacking basics, breakdown the different penetration testing fields and install the needed software (on Windows, Linux and Mac OS X), then we'll dive and start hacking straight away. You'll learn everything by example, by analysing and exploiting different systems such as networks, servers, clients, websites .....etc. We'll never have any boring dry theoretical lectures.",https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,4.6
udemy,Complete Ethical Hacking Bootcamp 2023: Zero to Mastery,"Andrei Neagoie, Aleksa Tamburkovski ",ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"This course is focused on learning by doing. We are going to teach you how hacking works by actually practicing the techniques and methods used by hackers today. We will start off by creating our hacking lab to make sure we keep your computers safe throughout the course, as well as doing things legally, and once we have our computers set up for ethical hacking.",https://www.udemy.com/course/complete-ethical-hacking-bootcamp-zero-to-mastery/,4.6
udemy,Learn Ethical Hacking: Beginner to Advanced,Joseph Delgadillo,ethical hacking,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTfY7OJqOsHeN-8u_G0qiE9ezj2CfMbMLAtfYrPfD7xQqiVdqtw,"If you would like to master ethical hacking and get a job in the field of cyber security, you are going to LOVE this course! Learn ethical hacking, penetration testing, Kali Linux and Python hacking with over 28 hours of HD video tutorials! This course was designed to be extremely beginner friendly. We will begin by covering how to setup a secure and anonymous pentesting environment, cover essential hacking tools in Kali Linux, and finish up with writing our own tools in Python. This course even includes a complete Python crash course, so no previous programming experience is necessary!",https://www.udemy.com/course/ethical-hacking-kali-linux/,4.4
coursera,Introduction to Front-End Development,Meta Staff,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,This course is a good place to start if you want to become a web developer. You will learn about the day-to-day responsibilities of a web developer and get a general understanding of the core and underlying technologies that power the internet. ,https://www.coursera.org/learn/introduction-to-front-end-development,4.8
coursera,Web Design for Everybody: Basics of Web Development & Coding Specialization,Colleen Van Lent,front end web development,https://tse2.mm.bing.net/th?id=OIP.Y5dMBLdIdjJza3k8diGILAHaDs&pid=Api&P=0,"Learn to Design and Create Websites. Build a responsive and accessible web portfolio using HTML5, CSS3, and JavaScript",https://www.coursera.org/specializations/web-design,4.8
